Districtwise IPC Crimes - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. No,,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other IPC Crimes,Total Cognizable IPC crimes,
,,,Murder (Sec.302 IPC),,,Abetment of Suicide (Sec.305/306 IPC),Attempt to Commit Murder (Sec.307 IPC),Attempt to Commit Suicide (Sec.309 IPC),,,,,,,Human Trafficking (U/S 370),Rape (Sec.376 IPC),,Extortion & Blackmailing (Sec.384 to 389 IPC),Robbery  (Sec.392/394/397 IPC),Offences against Property (Total),,,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),Offences relating to Religion (Sec.295 to 297),Cheating by Impersonation (Sec.419 IPC),Offences related to Mischief (Sec.428 to 433),Cruelty by Husband or his Relatives (Sec.498-A IPC),Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),Criminal Intimidation (Sec.506 r/w Other IPC Crimes),Insult to the Modesty of Women (Sec.509 IPC),,,
,             STATE / UT,,,Causing Death by Negligence (Sec.304-A IPC) (Col.6+Col 9 to 12),,,,,,"Assault on Women 
(Sec.354 IPC)",,Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),cyber crime(Sec.354D IPC),"Kidnapping and Abduction (Total) (Col.46+ Col.49 to Col.55)
",,,"Theft (Total) (Col.92+Col.93)
",,,, Cheating (Sec.420 IPC), Forgery,,,,,,,,,,,
,,,,,Hit and Run,,,,Acid Attack (Sec.326A IPC),,Sexual Harassment (Sec.354A IPC+AJ4+AK5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Assam,Morigaon,30,62,62,0,20,0,0,70,0,0,0,231,7,49,273,10,12,397,144,3,0,0,0,0,174,0,0,0,15,1759,
25,Assam,Dima Hasao,5,13,0,0,6,0,0,3,1,1,0,14,0,3,23,2,7,44,29,5,0,0,0,0,8,0,0,1,13,193,
26,Assam,Nagaon,58,209,209,10,70,0,1,11,24,16,8,192,7,65,569,21,42,955,140,48,0,0,30,0,292,0,0,0,599,3389,
27,Assam,Nalbari,19,110,0,11,37,0,0,39,13,20,3,98,0,20,254,20,23,397,89,10,0,0,0,0,127,0,0,1,140,1656,
28,Assam,RPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,Assam,SOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,Assam,STF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
31,Assam,Sibsagar,28,60,60,8,23,0,0,16,2,4,1,56,2,15,223,12,4,283,37,3,0,0,0,0,86,0,0,0,114,958,
32,Assam,Sonitpur,62,166,158,0,33,0,0,71,1,2,0,421,11,68,261,13,34,437,216,0,0,0,0,0,178,0,0,0,62,2084,
33,Assam,Tinsukia,59,91,0,7,45,2,0,39,7,3,3,194,2,70,666,28,53,1041,172,6,0,0,0,0,153,0,38,6,274,2691,
34,Assam,Udalguri,25,75,75,1,25,0,0,8,2,9,2,94,4,21,107,12,4,176,21,2,0,0,0,0,58,0,0,4,0,746,
35,Assam,Sadia,2,0,0,0,8,0,0,1,0,0,0,24,3,4,28,3,2,36,9,0,0,0,0,0,12,0,2,0,15,159,
36,Assam,Majuli,4,11,0,1,2,1,0,0,8,0,0,15,0,3,18,4,0,44,16,0,0,0,0,0,24,0,0,0,23,196,
37,Assam,Biswanath,35,64,31,2,2,0,0,23,0,0,0,73,11,15,72,13,2,110,29,5,0,2,0,0,36,3,0,0,45,608,
38,Assam,Hojai,27,67,0,6,5,0,0,14,5,28,2,193,4,46,189,37,14,367,0,18,0,2,0,3,224,0,9,2,34,1747,
39,Assam,South Salmara,16,18,11,3,45,0,1,1,0,16,0,58,2,32,78,8,1,129,32,0,0,0,0,0,99,1,33,3,21,726,
40,Assam,Charaideo,33,22,0,5,25,0,0,10,4,9,0,46,1,7,74,2,2,100,15,3,0,1,0,0,29,0,5,0,14,433,
41,Assam,Bajali,3,30,0,2,8,0,0,11,0,8,0,30,1,4,47,1,3,91,25,0,0,0,0,0,29,0,0,0,9,366,
42,Assam,Tamulpur,15,32,5,4,0,0,0,13,0,0,0,42,4,8,46,5,3,70,11,0,0,0,0,0,19,0,0,0,40,318,
1,Bihar,Araria,82,186,7,0,177,0,0,5,0,0,0,279,3,28,752,11,56,871,39,78,0,0,0,0,48,0,0,0,0,4627,
2,Bihar,Arwal,16,81,33,1,39,0,0,0,0,7,0,49,1,7,169,3,12,343,7,33,0,1,0,0,12,0,0,0,0,1360,
3,Bihar,Aurangabad,79,284,55,2,231,0,0,11,0,0,0,203,3,36,829,15,37,962,158,36,0,0,0,0,39,0,0,0,4,4248,
4,Bihar,Bagaha,38,62,19,0,230,0,0,18,0,19,0,126,0,18,169,7,13,222,110,0,0,0,0,0,25,0,0,0,0,2235,
5,Bihar,Banka,53,138,23,0,45,0,0,5,0,0,3,127,2,8,317,4,28,412,43,120,0,0,0,0,18,0,1,0,1,3437,
6,Bihar,Begusarai,110,275,93,0,158,0,0,5,0,0,0,304,0,15,653,12,78,837,120,0,0,0,0,0,27,0,0,0,0,4757,
7,Bihar,Bettiah,37,124,49,0,0,0,0,0,0,0,0,233,1,7,989,3,19,1092,76,110,0,0,0,0,65,0,0,0,72,5830,
8,Bihar,Kaimur(Bhabhua),22,170,53,0,98,0,0,16,0,0,0,134,0,13,396,1,10,510,89,37,0,0,0,0,14,0,0,0,16,2378,
9,Bihar,Bhagalpur,96,124,82,0,8,0,0,6,0,0,0,395,0,26,1406,29,62,1657,178,22,0,0,0,0,39,0,0,0,0,5058,
10,Bihar,Bhojpur,100,297,145,0,275,0,0,46,0,0,0,334,0,20,1322,55,63,1622,79,271,0,0,0,0,59,0,0,0,0,6135,
11,Bihar,Buxar,37,96,50,0,182,0,0,6,0,0,0,172,0,10,536,5,14,642,105,71,0,0,0,0,31,0,0,0,0,3022,
