Districtwise IPC Crimes - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. No,,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other IPC Crimes,Total Cognizable IPC crimes,
,,,Murder (Sec.302 IPC),,,Abetment of Suicide (Sec.305/306 IPC),Attempt to Commit Murder (Sec.307 IPC),Attempt to Commit Suicide (Sec.309 IPC),,,,,,,Human Trafficking (U/S 370),Rape (Sec.376 IPC),,Extortion & Blackmailing (Sec.384 to 389 IPC),Robbery  (Sec.392/394/397 IPC),Offences against Property (Total),,,Offences relating to Adulteration or Sale of Food/Drugs (Sec.272/273/274/275/276 IPC),Offences relating to Religion (Sec.295 to 297),Cheating by Impersonation (Sec.419 IPC),Offences related to Mischief (Sec.428 to 433),Cruelty by Husband or his Relatives (Sec.498-A IPC),Circulate False/Fake News/Rumours (Sec.505 IPC/Sec.505 r/w IT Act),Criminal Intimidation (Sec.506 r/w Other IPC Crimes),Insult to the Modesty of Women (Sec.509 IPC),,,
,             STATE / UT,,,Causing Death by Negligence (Sec.304-A IPC) (Col.6+Col 9 to 12),,,,,,"Assault on Women 
(Sec.354 IPC)",,Assault or use of Criminal Force on women with intent to Disrobe (Sec.354B IPC),cyber crime(Sec.354D IPC),"Kidnapping and Abduction (Total) (Col.46+ Col.49 to Col.55)
",,,"Theft (Total) (Col.92+Col.93)
",,,, Cheating (Sec.420 IPC), Forgery,,,,,,,,,,,
,,,,,Hit and Run,,,,Acid Attack (Sec.326A IPC),,Sexual Harassment (Sec.354A IPC+AJ4+AK5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jharkand,Koderma,22,75,12,0,32,0,0,23,37,0,0,40,1,46,190,13,5,367,2,3,0,1,0,0,18,1,0,0,82,1172,
18,Jharkand,Latehar,50,94,0,7,90,0,0,25,5,4,1,35,6,36,115,19,6,189,47,1,0,0,0,0,17,0,10,0,4,821,
19,Jharkand,Lohardagga,28,65,65,4,29,0,0,22,0,0,0,44,2,32,123,8,9,175,43,0,0,6,0,0,8,0,0,0,0,709,
20,Jharkand,Pakur,28,77,77,1,18,1,0,5,4,9,1,41,1,50,119,5,4,200,34,5,0,2,0,0,38,0,0,0,45,854,
21,Jharkand,Palamu,86,189,183,12,397,0,0,86,1,4,0,106,0,59,324,44,40,522,76,53,0,0,0,0,35,0,1,1,25,2486,
22,Jharkand,Ramgarh,27,188,152,1,45,0,0,12,1,1,1,32,0,20,222,14,11,288,65,4,0,3,0,1,12,2,0,1,36,948,
23,Jharkand,Ranchi,154,494,81,0,411,0,0,24,47,0,0,216,13,190,2377,79,157,3055,221,193,0,0,0,0,114,0,0,0,1004,7450,
24,Jharkand,Sahebganj,47,63,63,0,292,0,0,21,0,0,0,68,8,47,144,12,19,218,83,0,0,0,0,0,29,0,18,0,11,1281,
25,Jharkand,Saraikela,61,150,57,5,93,0,0,9,2,4,4,17,0,15,173,34,12,353,88,2,0,3,0,0,20,0,21,0,2,1096,
26,Jharkand,Simdega,50,98,0,0,2,0,0,0,0,0,0,25,5,47,71,8,7,122,22,0,0,0,0,0,10,0,0,0,0,404,
1,Karnataka,Bagalkot,41,367,24,19,83,0,0,59,3,96,1,42,0,12,299,0,14,435,76,9,2,10,0,0,34,0,32,0,39,2199,
2,Karnataka,Bengaluru City,173,902,222,141,389,10,6,488,120,63,70,946,7,151,7574,123,603,9558,2462,151,4,15,2,92,584,12,411,29,647,28666,
3,Karnataka,Bengaluru District,70,585,110,34,87,0,0,85,71,0,0,252,0,21,1180,4,100,1612,375,36,0,3,0,15,149,0,104,2,29,6031,
4,Karnataka,Belagavi District,69,707,59,24,163,8,0,129,2,138,7,96,0,22,503,0,31,768,139,39,1,13,0,3,127,0,100,0,82,4703,
5,Karnataka,Ballari,26,217,0,9,50,2,0,19,17,41,4,51,0,9,347,0,22,486,82,10,0,2,0,6,65,0,28,0,26,1792,
6,Karnataka,Bidar,54,312,48,14,43,2,0,52,2,0,0,52,0,11,331,0,52,573,43,15,0,12,0,7,110,0,29,0,42,3136,
7,Karnataka,Vijayapura,59,395,40,16,128,0,0,130,6,4,0,84,0,20,373,0,11,560,95,17,12,4,0,7,107,0,48,2,45,2858,
8,Karnataka,Chikkaballapura,29,256,11,17,62,5,0,92,11,40,2,53,1,9,343,0,30,486,93,6,0,2,0,13,51,0,35,1,23,2577,
9,Karnataka,Chamarajnagar,19,179,14,11,63,4,0,57,6,89,3,28,0,9,133,0,9,215,21,3,0,4,0,19,19,0,30,2,33,1705,
10,Karnataka,Chikkamagaluru,14,238,55,18,77,3,0,123,43,48,9,77,0,6,216,0,19,369,68,9,0,3,0,10,43,0,64,0,11,2759,
11,Karnataka,Chitradurga,30,408,110,23,80,8,0,221,9,150,2,86,0,12,367,1,30,521,101,8,0,5,0,14,72,0,57,4,65,4057,
12,Karnataka,Dakshina Kannada,22,152,6,3,28,0,0,36,10,3,7,20,0,10,81,0,16,162,33,4,0,5,0,9,31,0,111,2,15,1812,
13,Karnataka,Davanagere,29,311,36,19,112,7,0,123,6,87,2,122,3,17,632,3,54,874,7,15,0,11,0,11,59,0,47,1,54,3396,
14,Karnataka,Dharwad,26,212,70,10,51,1,0,33,6,7,1,18,0,3,144,0,11,211,39,0,0,2,0,3,42,0,18,0,9,1193,
15,Karnataka,Gadag,22,162,3,8,33,0,0,45,7,2,2,23,0,7,163,1,10,237,39,2,0,4,0,1,23,0,12,1,6,1060,
16,Karnataka,Kalaburgi,55,290,20,18,64,1,0,110,0,7,0,45,0,12,296,0,11,420,26,1,1,13,0,7,101,0,55,0,41,2462,
17,Karnataka,Hassan,63,456,27,15,128,0,0,196,12,63,2,92,1,13,370,0,42,580,118,10,0,7,0,16,50,0,123,0,56,4652,
18,Karnataka,Haveri,16,258,24,10,94,3,0,67,11,34,0,68,0,13,338,0,19,526,72,4,0,4,0,5,36,0,23,0,26,2409,
19,Karnataka,Hubballi Dharwad City,17,102,5,11,75,3,0,41,4,2,8,71,0,10,307,0,35,508,111,12,0,6,0,4,87,0,31,0,16,2006,
20,Karnataka,K.G.F.,12,50,11,4,28,4,0,33,0,6,0,20,0,5,93,1,10,173,28,4,0,1,0,18,13,0,37,0,5,855,
21,Karnataka,Kodagu,19,70,7,4,47,1,1,41,5,6,1,36,0,8,126,0,8,201,27,4,0,5,0,4,24,0,38,1,13,1355,
22,Karnataka,Kolar,28,241,38,13,81,2,0,87,15,20,7,74,0,12,338,7,24,471,96,16,0,11,0,3,23,0,96,1,45,2417,
23,Karnataka,Koppal,18,251,3,8,63,1,1,109,0,0,0,41,1,8,384,0,9,490,47,1,0,1,0,2,96,0,38,2,30,2175,
24,Karnataka,Mandya,57,456,49,18,86,2,0,199,8,126,8,124,0,10,458,0,53,721,67,14,0,6,0,14,92,0,69,2,59,4830,
25,Karnataka,Mangaluru City,11,161,12,8,52,2,0,66,11,1,0,35,3,12,150,0,24,251,77,4,0,7,0,5,32,0,49,4,14,1979,
26,Karnataka,Mysuru City,26,181,8,13,69,1,0,50,11,17,3,64,0,15,543,1,102,804,133,25,0,4,0,8,43,0,26,3,9,2658,
27,Karnataka,Mysuru District,62,447,132,21,94,7,0,208,13,54,8,84,0,22,414,0,30,664,106,4,0,6,0,15,97,0,119,4,54,4315,
28,Karnataka,Raichur,43,305,36,16,84,1,0,197,16,2,2,41,0,24,503,0,14,624,76,3,5,7,0,4,115,0,51,0,24,2577,
29,Karnataka,K.Railways,11,3,0,22,9,4,0,0,3,0,0,9,1,0,1125,0,55,1180,4,1,0,0,0,0,3,0,6,1,5,1296,
30,Karnataka,Ramanagara,44,350,0,26,87,1,0,224,11,49,7,128,1,14,554,0,45,835,164,12,0,4,1,15,46,0,110,1,21,4155,
31,Karnataka,Shimoga,31,347,13,22,142,0,0,237,10,71,8,128,0,23,409,6,49,697,212,10,0,12,1,25,92,2,149,1,16,4591,
32,Karnataka,Tumakuru,79,702,95,25,120,5,0,151,123,4,6,130,0,19,651,4,78,1078,201,38,0,6,0,11,65,0,59,2,36,5520,
33,Karnataka,Udupi,16,247,3,9,27,2,0,52,11,5,4,30,0,10,160,0,16,305,88,15,0,8,0,7,30,0,124,4,23,2342,
34,Karnataka,Uttara Kannada,15,241,14,11,47,1,0,74,11,70,3,48,0,11,172,3,18,311,82,18,0,8,0,10,21,0,40,5,41,2323,
35,Karnataka,Yadgiri,21,171,7,4,53,2,0,84,10,3,0,24,0,15,138,0,2,196,27,2,0,2,0,5,32,0,21,1,23,1316,
36,Karnataka,Belagavi City,36,164,15,15,74,2,0,24,7,11,1,39,0,6,231,2,13,388,121,4,0,2,0,13,88,0,14,1,17,1721,
37,Karnataka,Kalaburgi City,27,110,6,8,73,0,0,41,0,0,0,53,0,7,359,1,30,539,89,7,0,3,0,10,53,0,38,0,31,1768,
38,Karnataka,Vijayanagara,14,219,6,15,58,3,0,69,2,9,0,31,0,7,262,0,11,378,68,12,0,1,0,7,57,0,22,1,36,1795,
1,Kerala,All Districts,15,183,0,5,39,4,0,87,62,6,25,12,1,47,247,11,60,445,512,12,0,0,0,1,355,0,163,35,94,8939,
2,Kerala,Alapuzha,16,287,3,7,39,2,1,199,34,7,14,16,0,35,156,2,53,351,826,25,0,0,1,6,201,0,56,24,237,14570,
3,Kerala,Ernakulam Commr.,16,129,0,3,30,5,0,104,145,6,63,19,1,97,296,10,72,519,390,33,0,1,7,42,153,0,48,66,255,13273,
4,Kerala,Ernakulam Rural,18,289,33,0,58,0,1,259,119,6,43,32,2,61,268,9,61,544,388,38,0,0,36,9,329,0,148,83,747,22150,
5,Kerala,Idukki,32,77,6,5,42,1,0,106,80,5,4,8,0,40,141,4,18,245,242,29,0,1,0,4,101,0,56,26,196,14360,
6,Kerala,Kannur City,7,121,1,2,20,1,0,65,13,3,8,3,0,21,68,2,32,174,140,6,0,0,0,1,161,0,37,10,260,3536,
7,Kerala,Kasargod,7,104,0,3,14,0,0,40,19,0,29,12,2,26,113,3,26,263,226,7,0,0,0,5,136,0,50,16,205,3688,
8,Kerala,Kollam Commr.,12,181,0,3,42,3,0,189,0,0,0,13,8,28,171,0,29,268,304,11,0,1,0,0,364,0,11,21,229,7539,
9,Kerala,Kollam Rural,20,141,0,11,37,2,1,153,48,19,18,8,0,23,134,1,27,265,1254,4,0,1,1,0,220,0,18,21,212,11748,
10,Kerala,Kottayam,18,220,10,1,33,1,2,217,64,3,21,25,0,44,189,10,29,335,354,12,0,0,0,3,153,0,2,31,430,42798,
11,Kerala,Kozhikode Commr.,7,170,1,0,19,8,0,82,118,5,23,45,1,42,342,3,54,605,139,25,0,0,2,1,342,0,7,37,266,8074,
12,Kerala,Kozhikode Rural,12,170,1,1,23,0,0,108,162,7,39,45,0,46,177,1,27,311,152,21,0,0,0,0,406,0,87,20,94,5955,
13,Kerala,Malappuram,23,315,1,13,47,0,0,111,239,11,51,53,0,81,202,8,35,488,225,56,0,1,0,1,624,0,24,27,174,13568,
14,Kerala,Palakkad,38,282,10,3,32,7,0,75,148,10,37,29,0,30,192,0,67,463,284,22,0,0,0,0,315,1,138,20,148,11267,
15,Kerala,Pathanamthitta,9,146,8,5,40,0,3,103,45,5,16,17,0,34,129,4,26,247,1032,17,0,0,0,0,104,0,83,29,244,10384,
16,Kerala,Railways,0,0,0,0,0,0,0,30,12,1,3,2,7,0,221,0,19,243,2,0,0,0,0,1,0,0,5,14,4,354,
17,Kerala,Thrissur Rural,17,148,2,1,32,0,0,123,70,4,29,12,0,33,162,6,33,299,360,9,0,1,2,0,263,0,16,29,83,7395,
18,Kerala,Trivandrum Commr.,23,113,6,0,41,5,0,164,28,2,4,12,0,40,312,12,60,489,316,53,0,1,1,14,116,0,57,22,143,14353,
19,Kerala,Trivandrum Rural,31,353,202,15,88,6,0,402,27,22,11,20,0,43,286,5,70,555,408,0,0,0,0,0,313,0,8,17,813,16372,
20,Kerala,Wayanadu,10,62,0,1,16,0,0,88,61,0,1,13,0,32,94,0,7,158,88,6,0,0,0,1,216,0,7,11,231,2957,
21,Kerala,Crime Branch,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,17,2,0,0,0,0,0,0,0,0,1,23,
22,Kerala,Kannur Rural,3,79,1,3,7,1,0,39,24,0,12,7,13,11,43,2,16,112,112,12,0,0,1,0,126,0,13,13,150,2555,
1,Madhya Pradesh,Agar,8,69,69,6,12,0,0,0,38,2,5,51,0,16,165,0,2,236,12,0,0,1,1,5,76,5,4,1,10,2031,
2,Madhya Pradesh,Alirajpur,60,159,152,17,32,0,0,22,0,0,0,30,0,31,111,0,6,163,10,2,0,2,0,0,7,1,0,0,75,1909,
3,Madhya Pradesh,Anuppur,29,140,8,12,17,0,0,31,31,1,4,144,0,40,314,7,12,441,20,6,0,3,0,0,85,0,16,1,51,2761,
4,Madhya Pradesh,Ashok Nagar,19,120,114,17,14,0,0,59,15,0,18,78,0,20,95,0,2,189,35,0,0,3,0,0,134,1,1,4,19,3067,
5,Madhya Pradesh,Balaghat,37,221,187,6,24,0,0,36,29,0,26,201,1,54,270,7,4,470,31,1,0,5,0,12,136,0,84,4,6,4282,
6,Madhya Pradesh,Barwani,37,284,280,18,18,0,0,120,0,0,0,99,0,46,204,0,13,291,0,0,0,2,0,0,64,0,0,9,0,3477,
7,Madhya Pradesh,Betul,66,357,336,12,17,0,0,26,13,0,6,187,1,35,253,1,7,400,28,2,0,12,0,9,40,0,0,8,1,4345,
8,Madhya Pradesh,Bhind,40,220,220,18,59,0,0,48,0,0,0,122,1,32,303,0,38,524,65,0,0,1,0,19,101,0,0,4,268,4871,
9,Madhya Pradesh,Bhopal Commissionarate,54,250,178,34,90,2,1,201,73,5,78,570,0,248,2213,18,70,2910,254,64,1,9,2,13,684,5,799,20,659,15339,
10,Madhya Pradesh,Bhopal Railway,1,0,0,2,7,0,0,19,0,0,0,9,0,1,3278,0,89,3374,14,2,0,0,0,0,0,0,56,0,0,3534,
11,Madhya Pradesh,Burhanpur,14,83,78,12,22,0,0,7,33,0,10,88,3,26,162,11,7,238,0,1,0,11,0,2,120,0,0,1,0,2631,
12,Madhya Pradesh,Chhatarpur,40,288,0,22,41,0,0,0,80,0,42,268,1,46,427,4,22,712,13,0,0,6,0,18,168,0,2844,2,5,5838,
13,Madhya Pradesh,Chhindwara,49,353,0,16,15,0,0,0,36,0,0,172,1,52,286,0,11,412,42,0,0,0,0,0,71,0,0,4,190,4671,
14,Madhya Pradesh,Damoh,29,239,236,19,22,0,0,38,16,0,18,174,0,27,152,3,12,283,0,1,0,6,0,0,163,3,0,3,0,4006,
15,Madhya Pradesh,Datia,23,133,127,12,31,0,0,37,0,0,3,76,0,34,229,0,9,294,31,0,9,4,0,28,69,0,1187,0,20,2734,
16,Madhya Pradesh,Dewas,24,301,0,13,42,1,1,57,52,4,29,167,0,45,578,12,11,757,28,0,1,4,3,2,70,5,294,3,37,7482,
17,Madhya Pradesh,Dhar,71,689,84,49,70,0,0,0,154,0,53,410,2,153,1032,15,28,1428,65,17,0,7,0,18,201,5,169,2,30,9305,
18,Madhya Pradesh,Dindori,20,110,110,9,5,0,0,39,0,0,9,101,0,36,66,2,1,125,15,0,0,4,0,9,122,0,3,2,99,2628,
19,Madhya Pradesh,Guna,43,201,0,22,26,0,0,93,0,0,5,75,2,44,258,5,17,400,33,1,0,3,0,5,83,10,17,11,36,5017,
20,Madhya Pradesh,Gwalior,64,329,327,58,110,0,0,110,47,15,44,317,0,193,1844,15,63,2704,226,43,2,10,0,23,561,0,4465,10,93,12818,
21,Madhya Pradesh,Harda,14,127,113,14,25,0,0,51,6,0,24,104,1,23,106,9,2,190,4,0,0,5,0,2,92,0,35,1,90,2982,
22,Madhya Pradesh,Narmadapuram,35,201,181,15,31,0,0,40,18,1,20,159,0,43,299,4,16,400,20,1,0,7,0,13,190,0,102,7,2,5006,
23,Madhya Pradesh,Indore Commissionarate,72,317,101,67,91,0,1,71,50,3,90,674,4,174,3745,25,67,4558,284,10,2,7,4,3,532,1,31,20,197,16636,
24,Madhya Pradesh,Indore Railway,2,0,0,2,2,0,0,5,0,0,0,6,0,0,1221,0,10,1238,1,0,0,0,0,0,0,0,70,0,4,1355,
25,Madhya Pradesh,Jabalpur,86,514,0,30,72,1,0,171,104,0,22,470,1,164,998,21,55,1623,144,10,5,5,2,21,412,4,282,17,293,15153,
26,Madhya Pradesh,Jabalpur Railway,2,2,0,3,3,0,0,0,8,0,0,8,1,3,2358,0,22,2383,5,0,0,0,0,0,0,0,49,0,4,2500,
27,Madhya Pradesh,Jhabua,35,204,201,22,10,0,0,50,0,0,0,204,0,42,196,2,16,260,13,0,0,3,0,88,22,1,0,3,14,3543,
28,Madhya Pradesh,Katni,26,233,216,19,8,0,0,0,51,2,4,272,0,35,281,1,3,410,44,6,9,2,0,0,63,2,0,6,0,4778,
29,Madhya Pradesh,Khandwa,30,200,0,12,64,0,0,131,0,0,0,152,0,53,301,0,10,460,0,0,0,13,0,0,91,3,0,8,2080,4294,
30,Madhya Pradesh,Khargone,42,383,333,24,48,0,0,63,66,1,13,148,2,59,482,0,12,684,29,4,8,10,1,5,96,8,51,11,30,5049,
31,Madhya Pradesh,Mandla,25,276,0,12,8,0,0,19,12,1,5,190,1,27,318,0,9,431,15,0,3,8,0,9,70,0,2,2,18,2843,
32,Madhya Pradesh,Mandsaur,22,187,0,16,21,0,1,36,29,0,26,111,2,29,459,10,14,609,53,0,0,7,0,0,117,0,2273,3,22,4285,
33,Madhya Pradesh,Morena,45,278,0,43,77,0,0,102,0,2,8,158,3,82,616,11,40,1035,45,18,48,9,0,13,279,9,2061,6,57,7758,
34,Madhya Pradesh,Narsinghpur,30,245,230,20,16,1,0,0,130,0,0,156,0,62,171,4,9,282,28,0,0,1,0,0,106,1,3,5,15,3617,
35,Madhya Pradesh,Neemuch,11,91,88,8,10,0,0,35,20,0,8,76,2,16,224,2,15,324,22,10,0,4,0,0,165,0,54,0,1234,2708,
36,Madhya Pradesh,Panna,19,153,153,25,14,1,0,63,1,2,4,185,0,46,127,3,5,247,0,0,0,14,0,30,111,0,1403,2,10,3255,
37,Madhya Pradesh,Raisen,42,286,286,14,39,0,1,0,0,0,100,283,2,49,557,0,17,738,0,0,0,0,0,0,160,0,0,2,715,5666,
38,Madhya Pradesh,Rajgarh,25,208,208,17,38,0,0,166,0,0,0,132,0,70,245,122,17,518,33,0,0,7,0,0,426,0,1923,3,429,6021,
39,Madhya Pradesh,Ratlam,32,242,56,30,46,1,0,60,15,2,29,253,0,62,523,15,23,775,58,1,4,31,1,0,180,0,3513,6,61,7316,
40,Madhya Pradesh,Rewa,65,449,441,36,44,0,1,105,0,0,0,521,1,77,1299,7,81,2021,77,44,0,8,5,11,225,4,32,16,3906,9833,
41,Madhya Pradesh,Sagar,82,494,479,56,84,0,0,174,0,0,56,351,1,70,520,6,42,858,89,4,0,13,0,1,424,0,5,5,56,11869,
42,Madhya Pradesh,Satna,60,469,448,31,45,0,0,83,0,0,0,429,2,38,461,18,17,667,53,0,1,0,0,16,108,0,1428,2,0,6495,
43,Madhya Pradesh,Seoni,30,314,300,22,15,0,0,80,0,0,0,224,3,72,261,9,7,451,35,10,0,3,0,12,137,0,3,5,937,3848,
44,Madhya Pradesh,Shahdol,44,213,38,22,39,2,0,19,38,2,20,180,2,40,477,7,14,762,37,0,1,0,0,28,191,0,63,1,0,4983,
45,Madhya Pradesh,Shajapur,19,173,162,17,27,0,0,37,40,0,12,47,0,38,259,2,13,381,16,0,0,1,0,12,130,0,9,7,20,3252,
46,Madhya Pradesh,Sheopur,12,78,76,6,5,0,1,29,5,0,3,40,0,19,143,1,7,211,8,0,0,0,0,5,58,0,27,3,36,1700,
47,Madhya Pradesh,Shivpuri,63,344,337,34,38,1,0,137,5,0,7,197,1,78,468,14,31,739,81,1,0,10,0,26,152,0,43,4,2622,6688,
48,Madhya Pradesh,Sidhi,22,205,205,19,10,0,0,68,0,0,0,187,0,41,218,1,10,390,5,0,0,0,0,6,109,2,0,6,0,3729,
49,Madhya Pradesh,Sehore,27,242,230,19,36,1,2,33,55,0,38,127,0,29,491,17,10,684,80,1,1,6,0,19,130,1,16,1,21,5095,
50,Madhya Pradesh,Singrauli,56,248,38,29,18,0,0,12,22,0,10,130,3,56,408,11,6,525,21,8,6,1,0,9,144,7,0,0,20,4021,
51,Madhya Pradesh,Tikamgarh,26,144,144,26,21,0,0,35,4,1,1,110,0,29,171,0,0,258,14,0,0,5,0,14,74,2,24,1,77,2971,
52,Madhya Pradesh,Ujjain,35,309,292,27,75,1,0,83,34,7,34,273,0,79,1191,9,35,1518,116,7,0,6,0,15,191,3,300,15,2721,10260,
53,Madhya Pradesh,Umaria,19,92,16,9,7,0,0,0,34,0,0,71,0,34,133,2,6,230,13,1,0,0,0,0,46,0,291,0,0,2081,
54,Madhya Pradesh,Vidisha,41,226,209,24,44,0,0,30,73,5,12,200,2,52,316,1,15,521,18,5,0,22,0,7,112,0,311,5,78,5424,
55,Madhya Pradesh,Cyber Crime Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,Madhya Pradesh,Niwari,9,70,69,8,8,0,0,29,0,0,7,36,0,16,58,1,9,117,9,0,0,0,0,1,36,0,23,0,56,1586,
57,Madhya Pradesh,Bhopal Rural,13,144,135,3,9,0,0,19,8,2,5,68,0,17,202,0,4,267,14,4,0,2,0,0,56,0,114,2,97,2306,
58,Madhya Pradesh,Indore Rural,32,374,186,26,27,0,0,70,0,0,16,138,0,26,472,4,9,612,55,1,0,5,1,0,96,1,6,1,29,4926,
1,Maharashtra,Ahmednagar,94,786,326,98,254,23,0,460,97,19,131,580,3,112,4043,35,342,5423,249,9,0,8,0,90,451,0,0,30,709,16283,
2,Maharashtra,Akola,37,131,0,31,31,11,0,88,72,7,45,122,0,28,789,18,40,960,83,0,0,13,0,56,246,0,0,4,101,5944,
3,Maharashtra,Amravati Commr.,32,95,58,25,87,11,0,70,67,4,114,112,0,55,1184,5,66,1538,99,35,2,7,1,10,121,3,73,6,206,4876,
4,Maharashtra,Amravati Rural,55,338,82,25,45,3,0,64,58,16,35,171,0,35,1028,3,25,1226,89,11,0,13,0,38,198,0,0,5,30,8276,
5,Maharashtra,Aurangabad Commr.,43,188,68,14,48,6,0,99,50,7,81,224,0,49,1418,18,132,1760,203,0,0,10,0,0,253,2,0,10,48,5345,
6,Maharashtra,Aurangabad Rural,42,440,34,36,61,8,0,97,93,4,21,127,0,31,1150,3,74,1407,51,0,0,9,0,12,310,0,0,3,193,5838,
7,Maharashtra,Beed,60,402,44,57,120,3,0,119,97,13,36,166,0,52,1169,12,62,1548,0,0,0,10,0,0,621,3,0,8,175,5973,
8,Maharashtra,Bhandara,34,182,0,9,25,5,0,22,35,4,13,74,1,39,586,4,13,746,18,2,0,6,0,17,32,0,0,11,15,3159,
9,Maharashtra,Buldhana,50,325,60,58,49,12,0,84,170,18,47,164,0,51,1240,7,60,1552,64,18,0,9,3,12,238,0,0,11,59,7928,
10,Maharashtra,Chandrapur,55,408,85,14,42,5,0,60,65,25,64,235,3,38,1005,14,47,1348,71,0,0,7,0,14,206,0,0,40,54,8029,
11,Maharashtra,Dhule,39,357,77,10,42,0,0,75,0,6,9,142,0,16,715,10,65,1051,21,76,0,7,1,35,382,0,0,4,160,3840,
12,Maharashtra,Gadchiroli,39,149,43,4,13,0,0,15,14,4,5,51,0,17,278,3,3,404,26,0,0,4,0,12,13,0,0,1,20,1592,
13,Maharashtra,Gondia,20,145,92,11,27,6,0,47,18,5,20,110,0,36,411,7,14,586,11,19,0,11,0,0,27,0,0,5,8,3249,
14,Maharashtra,Hingoli,25,176,11,19,38,2,0,43,38,4,9,40,0,15,356,5,20,455,16,6,0,9,0,4,187,0,0,1,15,3228,
15,Maharashtra,Jalgaon,73,506,0,59,91,6,0,139,72,24,36,239,0,41,2057,22,132,2701,175,35,10,22,0,8,574,0,0,12,214,7643,
16,Maharashtra,Jalna,51,330,90,63,136,0,0,156,114,40,38,127,0,54,1460,5,122,1886,82,22,0,16,0,45,503,0,0,9,340,7391,
17,Maharashtra,Kolhapur,51,432,96,46,59,9,1,160,40,6,72,265,13,50,1779,28,110,2431,268,30,1,7,0,7,244,1,0,12,86,7126,
18,Maharashtra,Latur,39,320,59,30,76,10,1,99,25,4,31,134,1,32,840,9,87,1198,42,42,0,4,4,6,393,4,2,6,51,5392,
19,Maharashtra,Mumbai Commr.,135,492,208,50,245,23,1,819,335,65,576,1754,44,370,17876,311,1036,21998,3277,715,36,26,29,15,901,7,195,647,3297,69289,
20,Maharashtra,Mumbai Railway,6,243,0,9,7,0,0,34,31,0,11,20,0,1,12589,3,576,13190,47,4,0,0,0,0,0,6,0,9,35,13784,
21,Maharashtra,Nagpur Commr.,65,316,294,28,102,14,1,72,61,11,81,460,17,115,2503,46,167,3528,381,11,0,8,0,0,235,1,25,12,186,12889,
22,Maharashtra,Nagpur Railway,3,1,0,3,0,1,0,2,1,0,2,3,0,0,1160,0,14,1179,3,0,0,0,0,0,0,0,0,0,3,1225,
23,Maharashtra,Nagpur Rural,41,486,0,9,50,7,1,41,14,12,25,148,0,35,1451,5,31,1815,33,9,0,2,2,15,31,0,0,6,219,7979,
24,Maharashtra,Nanded,82,357,47,48,98,8,0,136,35,8,16,191,0,39,1273,40,140,1835,98,1,0,19,8,4,355,2,0,13,69,7195,
25,Maharashtra,Nandurbar,32,165,52,9,35,0,1,32,14,3,6,94,1,17,448,6,22,641,40,6,0,5,0,0,112,9,0,3,177,2728,
26,Maharashtra,Nasik Commr.,30,195,0,23,29,3,0,90,0,0,1,314,0,32,1105,10,140,1535,9,0,0,4,0,0,59,0,0,6,65,3547,
27,Maharashtra,Nasik Rural,87,841,298,50,70,11,0,102,96,17,14,415,0,34,1290,18,93,1731,93,30,8,6,2,3,646,1,0,12,43,7205,
28,Maharashtra,Navi Mumbai,39,309,0,13,48,2,0,99,51,9,35,364,8,105,1783,23,260,2541,454,2,0,4,2,5,226,0,7,38,128,6259,
29,Maharashtra,Osmanabad,37,289,0,21,82,5,1,62,68,11,16,88,0,43,699,5,42,927,57,3,0,2,0,2,129,0,0,6,177,4154,
30,Maharashtra,Palghar,31,285,70,13,33,0,1,40,8,3,16,156,0,35,409,5,26,608,50,15,0,1,0,0,26,0,0,18,59,3201,
31,Maharashtra,Parbhani,49,188,157,21,77,5,0,61,25,10,11,93,0,26,849,6,51,1104,58,1,0,16,0,16,278,0,0,2,21,3873,
32,Maharashtra,Pune Commr.,105,350,169,26,342,3,0,162,157,12,131,693,18,305,3257,112,407,4512,615,53,2,4,0,17,466,1,27,40,138,11074,
33,Maharashtra,Pune Railway,2,1,0,1,3,0,0,1,3,0,0,5,0,1,939,1,20,960,3,0,0,0,0,0,0,4,0,0,1,991,
34,Maharashtra,Pune Rural,108,867,29,67,174,3,0,378,70,34,107,468,4,110,2764,48,173,3738,433,16,0,6,4,39,331,6,2,48,113,12365,
35,Maharashtra,Raigad,38,260,28,14,30,3,0,51,29,5,13,133,0,33,473,9,36,710,48,52,0,4,0,11,52,0,0,13,35,4950,
36,Maharashtra,Ratnagiri,16,149,8,5,10,2,0,21,11,2,11,74,0,14,249,5,11,389,65,16,0,3,0,8,8,8,0,25,277,1869,
37,Maharashtra,Sangli,56,400,10,48,102,5,0,56,64,16,58,290,2,67,1953,27,147,2667,171,19,0,5,1,7,174,0,0,16,667,7867,
38,Maharashtra,Satara,40,496,105,44,69,20,0,80,94,7,67,298,4,57,1304,25,111,1826,153,30,0,8,1,8,179,0,0,12,51,7961,
